GeneName,sampleA,sampleB,sampleC,sampleD,sampleE,sampleF,sampleG,sampleH
A630034I12Rik,7.6322394953,8.2320053208,7.9871813012,8.1720557648,8.1295515831,7.8919407858,7.9962102737,8.0570623688
Kat6b,6.1112683484,6.2297671987,6.1419330793,6.0881974674,6.1076449276,6.2516139442,6.056441961,6.1456325329
Hypm,7.5958437891,7.3949699423,7.32483031,7.6860241592,7.1745715557,7.6937011619,7.637655574,6.4276746104
A_55_P2148744,13.8936412538,13.6112396294,14.1549103025,13.4766766239,13.3546190607,14.1578088331,13.9202677856,14.431988032
Prima1,6.1055779148,6.0190153599,6.074886538,6.1948153021,5.994726941,6.1238677065,5.9739277938,6.1252028612
4930573O21Rik,6.0974061478,6.050446209,6.1933796613,6.1306266968,6.1442570517,6.1125747845,6.2637658094,6.2089903749
Evx2,7.0586057733,7.0200859355,7.2160429907,7.1733537498,6.9567636055,6.8964424137,6.9967635924,6.9919313137
AK139740,6.2725297196,6.623420007,6.5959554475,6.6381186606,6.6385265008,6.475308994,6.6452210506,6.7041775115
C430002N11Rik,8.847318275,9.4114594956,9.9846364604,9.8590382828,10.2858824394,10.0379475269,8.4286575964,8.4277916997
Cables1,8.0104373934,7.0805426495,6.3575858969,6.8361588268,7.0252165765,6.5549584016,8.3934412351,8.2645595799
Gm14827,6.271603636,6.4722213824,6.4839137411,6.4124258839,6.4783734417,6.3927096369,6.3802907334,6.2867971498
Rtn4,11.8238652324,11.9939629815,11.7830802229,11.5268709735,12.0415436182,11.8343759026,11.5154349902,11.1563941552
Coq9,10.0063696658,10.0257599877,10.0824646292,10.1002110692,10.2067859577,10.0695855397,10.2517197292,9.8656280366
Fahd2a,9.6242750431,9.6118373533,10.1500941983,10.6490467011,10.2263941496,10.1525195094,10.170282937,10.29844111
3930401B19Rik,14.8683573553,15.3489579237,14.8548853504,15.9709723664,15.6445975587,15.256472146,15.3617013313,15.1909781579
Zfp217,11.1960079325,11.5783219292,11.0054519213,11.4634346569,11.6062525512,10.9410042617,11.3854824598,12.1008296648
Gm36086,6.0085713689,6.3046655847,6.1268372847,6.4094786129,6.3121837389,6.4790350089,6.2566917552,6.3284469336
1700016D06Rik,5.8276815937,5.945434759,6.1140924266,5.921001604,6.1426190177,6.179269817,5.9971091832,6.2113902912
A_55_P2536354,6.7029445997,6.5310939298,7.2518257266,6.8737396979,6.8761203845,7.3292683764,7.0614810382,7.3004297722
AK033053,5.9761350919,5.70158552,5.8170444592,5.8959517877,6.0815771027,5.6735073385,5.9276873408,5.8865152818
Alyref2,11.1056970519,10.5280863243,11.7914561488,11.1341203777,11.1361438325,11.8000700167,11.4553618297,11.5165297091
DV045877,8.0114110662,8.0394675903,7.9124740778,7.7038995483,7.6155306683,7.639984163,7.9400760043,8.4773041742
Gm10463,7.3199577633,7.052826926,7.4413867798,7.3302281781,7.3426968735,7.3341922354,7.5090275291,7.7436877341
C030034I22Rik,9.2657257512,10.0485165757,8.9406294738,10.1304397906,9.57668437,8.7548569719,9.1977519472,9.6751695849
Camta1,6.259605369,6.2381809903,6.2849056139,6.2467653365,6.1621527841,6.1924861427,6.1615997093,6.1144109049
Upf3b,10.9055856528,10.2470012709,11.2134566499,10.922993678,10.8141137437,11.0687863564,11.1076999418,10.8832963647
Prkar1b,6.1919032295,6.4406296373,6.1190541224,6.0689642245,6.3016789673,6.179041236,6.1541383511,6.4568882849
1500009C09Rik,6.5413153173,6.6206481306,6.4642303557,6.5190200589,6.4823104442,6.5583773228,6.4416127822,6.3889392484
AK144984,6.1405899435,6.1305481293,6.0310630836,6.3046342772,6.0736612398,6.1913144477,6.3100477575,7.0181574274
Slc43a1,7.1124243377,7.0636146755,7.1646712725,7.0638737781,7.0055034242,7.0659551532,7.0568933744,7.1118446223
Adipoq,6.1420756338,6.3467013451,6.1761960122,6.2502406097,6.3645888977,6.2380002735,6.2125468569,6.178433614
Tmem132cos,6.4693564229,6.5164149103,6.4031137135,6.7117251871,6.498878316,6.5258656817,6.327617293,6.3788382778
Zfp932,10.0154737515,10.5216258854,10.2464653291,9.9435511662,9.919378322,10.2107589098,10.0709827455,10.1154359261
Rgs20,11.6823454559,11.414206946,11.5596610925,11.4498770989,11.3988766168,11.1779508988,11.6304728737,11.383526926
Gm26703,6.235676387,6.0567079315,6.2607467587,6.2516659231,6.2540973639,5.9651801752,6.3849300329,6.2117004702
Fbp2,6.2337136726,6.3532811436,6.1430818334,6.1468197047,6.1367201852,6.2650111856,6.099687898,5.9786633194
Slamf1,11.5972981007,11.6617081415,11.5380887509,12.3423690267,12.074358218,11.9776941018,11.4156817868,10.8020370551
Vmn2r66,6.2573429603,6.1871607976,6.1774226208,6.0981072142,6.2160945244,6.1649774083,6.0647326626,6.203059374
