ln.TP,SDI,ln.Chla,ln.SecDep,ln.zmix,ln.Stab,ln.Cond
1.791759469,1.4,1.131402111,2.219203484,1.098612289,5.491219006,3.983413002
2.197224577,0.6,1.547562509,1.589235205,1.386294361,6.819513727,4.077537444
2.079441542,0.4,0.470003629,1.791759469,2.397895273,5.970506963,4.051784948
2.197224577,0.2,2.960105096,1.791759469,2.397895273,5.970506963,4.051784948
2.197224577,1,2.091864062,1.504077397,3.401197382,0.666135631,3.970291914
1.791759469,0.8,1.064710737,2.00148,2.079441542,5.218526044,4.012772909
1.609437912,0.2,0.336472237,2.091864062,1.098612289,6.680456858,4.091005661
2.397895273,1.1,1.887069649,1.945910149,3.401197382,0.679403163,3.972176928
2.48490665,1.1,1.386294361,2.079441542,2.302585093,6.673546609,4.087655574
3.496507561,0.5,2.985681938,0.875468737,1.791759469,4.416686482,4.559126247
4.584967479,0.9,3.254242969,0.587786665,2.772588722,0.897637843,4.280824129
4.59511985,1.1,3.526360525,0.741937345,1.386294361,4.216346833,4.356708827
4.48863637,1.5,3.955082495,0.741937345,1.386294361,4.216346833,4.356708827
4.9698133,0,5.645446898,-0.916290732,0,5.701341164,4.514150788
3.784189634,0.1,4.041295341,-0.105360516,1.791759469,4.953266035,4.518522379
4.672828834,0.5,2.151762203,1.386294361,2.772588722,0.654094453,4.332048265
1.098612289,0.9,0.262364264,2.251291799,1.386294361,6.313743136,4.343805422
3.891820298,1.7,0.530628251,2.63905733,1.945910149,8.37230274,4.40060302
1.791759469,1.1,0.470003629,2.397895273,3.091042453,7.683693556,4.393213824
2.564949357,0.5,0.955511445,0.993251773,4.369447852,1.741711014,4.317488114
1.791759469,1.4,0.470003629,2.240709689,2.708050201,6.365143107,4.317488114
1.386294361,1,0.262364264,2.517696473,1.609437912,8.154989104,4.368181228
1.609437912,1,0.182321557,2.708050201,2.302585093,6.852566618,4.329416684
1.609437912,0.7,0.641853886,2.595254707,1.609437912,8.375342074,4.380775853
2.197224577,0.2,0.405465108,2.57261223,2.995732274,7.905698548,4.377014093
2.079441542,0.6,0.993251773,2.091864062,4.369447852,2.701918105,4.301358732
1.609437912,0.8,0.09531018,2.681021529,3.091042453,6.792365078,4.313480092
2.63905733,0.9,0.587786665,2.104134154,1.609437912,8.285256292,4.377014093
2.079441542,1.6,1.30833282,1.791759469,1.609437912,4.036438222,4.001863709
2.302585093,1.6,0.955511445,2.041220329,2.079441542,2.228410965,3.871201011
2.079441542,0.1,1.386294361,1.791759469,2.48490665,-0.210412437,3.618993327
2.197224577,1,1.223775432,1.722766598,2.48490665,0.503680156,3.763522997
2.197224577,0.8,1.029619417,1.722766598,2.48490665,0.503680156,3.763522997
1.945910149,1.6,1.193922468,1.808288771,1.386294361,4.404011927,3.992680908
2.397895273,0.5,1.722766598,1.686398954,2.48490665,-0.367374841,3.941581808
2.397895273,0.5,1.722766598,1.686398954,2.48490665,0.871167835,3.941581808
